locality,zone,tier,latitude,longitude,avg_rent_per_sqft,median_rent_per_sqft,commercial_rent_per_sqft,avg_rent,median_rent,min_rent,max_rent,avg_area_sqft,median_area_sqft,sample_size,confidence,avg_bedrooms,avg_bathrooms,data_source,last_updated
Vadagaonsheri,Pune,Grade C,18.5204,73.8567,14.29,14.29,16.43,20000.0,20000.0,20000.0,20000.0,1400.0,1400.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
Vadgaon Budruk,Pune,Grade B,18.5204,73.8567,16.04,15.87,18.45,9625.0,8500.0,4500.0,17000.0,593.0,561.0,4,Low,1.5,1.5,Real Property Listings,2026-02-07
Vadgaon Maval,Pune,Grade C,18.5204,73.8567,12.77,12.77,14.68,11750.0,11750.0,5500.0,18000.0,850.0,850.0,2,Low,2.5,2.0,Real Property Listings,2026-02-07
Vadgaon Sheri,Pune,Grade B,18.5204,73.8567,23.39,22.71,26.9,16666.67,13500.0,8000.0,40000.0,681.67,627.5,6,Medium,1.7,1.7,Real Property Listings,2026-02-07
Vadgaon phata,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,8000.0,8000.0,8000.0,8000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Vaiduwadi,Pune,Grade B,18.5204,73.8567,23.81,23.81,27.38,20000.0,20000.0,20000.0,20000.0,840.0,840.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Vakil Nagar,Pune,Grade A,18.5204,73.8567,33.33,33.33,38.33,50000.0,50000.0,50000.0,50000.0,1500.0,1500.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Vallabh Nagar,Pune,Grade B,18.5204,73.8567,18.4,18.4,21.16,23000.0,23000.0,23000.0,23000.0,1250.0,1250.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Veerbhadra Nagar,Pune,Grade A,18.5204,73.8567,32.36,32.36,37.22,50000.0,50000.0,30000.0,70000.0,1515.0,1515.0,2,Low,4.5,3.5,Real Property Listings,2026-02-07
Venu Nagar Cotes,Pune,Grade B,18.5204,73.8567,21.58,21.58,24.82,20500.0,20500.0,20500.0,20500.0,950.0,950.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Vijay Nagar,Pune,Grade B,18.5204,73.8567,22.41,22.41,25.78,6500.0,6500.0,6500.0,6500.0,290.0,290.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Vikas Nagar,Pune,Grade C,18.5204,73.8567,14.16,14.16,16.29,13000.0,13000.0,11000.0,15000.0,914.5,914.5,2,Low,1.5,2.0,Real Property Listings,2026-02-07
Vinayak Nagar,Pune,Grade B,18.5204,73.8567,17.81,17.65,20.49,12333.33,15000.0,7000.0,15000.0,690.0,820.0,3,Low,1.7,1.0,Real Property Listings,2026-02-07
Vishal Nagar,Pune,Grade B,18.5204,73.8567,22.67,21.22,26.07,17333.33,18000.0,11000.0,24000.0,791.67,850.0,6,Medium,1.8,1.8,Real Property Listings,2026-02-07
Vishnu Dev Nagar,Pune,Grade B,18.5204,73.8567,22.96,20.0,26.41,19166.67,14500.0,13000.0,30000.0,966.67,650.0,3,Low,1.7,2.0,Real Property Listings,2026-02-07
Vishnupuram Colony,Pune,Grade B,18.5204,73.8567,16.67,16.67,19.17,10000.0,10000.0,10000.0,10000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Vishrantwadi,Pune,Grade B,18.5204,73.8567,23.7,22.87,27.25,16250.0,16250.0,6500.0,26000.0,689.69,682.5,26,High,1.5,1.5,Real Property Listings,2026-02-07
Vittalvadi,Pune,Grade B,18.5204,73.8567,20.55,20.55,23.63,15000.0,15000.0,15000.0,15000.0,730.0,730.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
WADGAONSHERI,Pune,Grade B,18.5204,73.8567,21.54,21.54,24.77,14000.0,14000.0,14000.0,14000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadachi Wadi,Pune,Grade C,18.5204,73.8567,12.08,12.08,13.89,10000.0,10000.0,10000.0,10000.0,828.0,828.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wadaon sheri,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,20000.0,20000.0,20000.0,20000.0,1000.0,1000.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wadebolai,Pune,Grade B,18.5204,73.8567,18.0,18.0,20.7,22500.0,22500.0,22500.0,22500.0,1250.0,1250.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Wadeshwar Nagar,Pune,Grade B,18.5204,73.8567,20.83,20.83,23.96,11000.0,11000.0,10000.0,12000.0,540.0,540.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadgaon Budruk,Pune,Grade C,18.5204,73.8567,11.55,14.29,13.28,7500.0,9000.0,3500.0,10000.0,640.0,620.0,3,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadgaon Sheri,Pune,Grade B,18.5204,73.8567,19.72,18.63,22.68,11321.43,10500.0,6500.0,18000.0,574.0,595.0,14,High,1.0,1.1,Real Property Listings,2026-02-07
Wadgaon Sheri Bus stand,Pune,Grade C,18.5204,73.8567,8.0,8.0,9.2,6000.0,6000.0,6000.0,6000.0,750.0,750.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wadgaonsheri,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,13000.0,13000.0,13000.0,13000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadki,Pune,Grade C,18.5204,73.8567,10.87,10.87,12.5,4500.0,4500.0,4500.0,4500.0,414.0,414.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Wadmukhwadi,Pune,Grade C,18.5204,73.8567,12.85,12.85,14.78,11000.0,11000.0,11000.0,11000.0,856.0,856.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wageshwar Nagar,Pune,Grade C,18.5204,73.8567,12.16,12.16,13.99,9000.0,9000.0,9000.0,9000.0,740.0,740.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wagholi,Pune,Grade B,18.5204,73.8567,16.23,15.69,18.66,12520.98,12000.0,5000.0,25000.0,797.9,773.0,159,High,1.9,1.9,Real Property Listings,2026-02-07
Wagholi Kesnand Road,Pune,Grade B,18.5204,73.8567,15.71,15.71,18.07,14000.0,14000.0,14000.0,14000.0,891.0,891.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wakdewadi,Pune,Grade B,18.5204,73.8567,23.33,23.33,26.83,35000.0,35000.0,35000.0,35000.0,1500.0,1500.0,1,Low,3.0,3.0,Real Property Listings,2026-02-07
Walhekarwadi,Pune,Grade B,18.5204,73.8567,16.77,16.77,19.29,13000.0,13000.0,13000.0,13000.0,775.0,775.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wanawari,Pune,Grade B,18.5204,73.8567,19.08,19.08,21.94,13000.0,13000.0,7000.0,19000.0,660.0,660.0,2,Low,1.5,1.5,Real Property Listings,2026-02-07
Wanwadi,Pune,Grade B,18.5204,73.8567,23.56,23.16,27.1,23590.91,25000.0,6500.0,30000.0,1002.73,1080.0,11,High,2.2,2.2,Real Property Listings,2026-02-07
Well Wisher Group,Pune,Grade A,18.5204,73.8567,27.21,27.21,31.29,20000.0,20000.0,20000.0,20000.0,735.0,735.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wireless Colony,Pune,Grade A,18.5204,73.8567,26.78,27.1,30.8,22960.0,19250.0,14500.0,60000.0,916.0,690.0,10,High,1.7,1.7,Real Property Listings,2026-02-07
Yamuna Nagar,Pune,Grade B,18.5204,73.8567,15.96,15.96,18.35,11250.0,11250.0,10500.0,12000.0,710.0,710.0,2,Low,1.5,1.0,Real Property Listings,2026-02-07
Yashwant nagar,Pune,Grade B,18.5204,73.8567,19.87,18.33,22.85,11166.67,11000.0,9000.0,13500.0,576.67,600.0,3,Low,1.0,1.0,Real Property Listings,2026-02-07
Yashwantrao Chavan Natya Graha,Pune,Grade B,18.5204,73.8567,24.0,24.0,27.6,12000.0,12000.0,12000.0,12000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Yerwada,Pune,Grade B,18.5204,73.8567,24.11,22.73,27.72,18269.23,12500.0,5000.0,55000.0,752.69,550.0,13,High,1.7,1.6,Real Property Listings,2026-02-07
Yewalewadi,Pune,Grade A,18.5204,73.8567,26.87,18.37,30.9,10250.0,10250.0,4500.0,20000.0,569.41,612.0,18,High,1.6,1.7,Real Property Listings,2026-02-07
Yojana Nagar,Pune,Grade C,18.5204,73.8567,5.33,5.33,6.13,8000.0,8000.0,8000.0,8000.0,1500.0,1500.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Z corner,Pune,Grade B,18.5204,73.8567,15.08,15.08,17.34,6500.0,6500.0,6500.0,6500.0,431.0,431.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Zenith Complex,Pune,Grade A,18.5204,73.8567,34.38,34.38,39.53,11000.0,11000.0,11000.0,11000.0,320.0,320.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
adwait nagar,Pune,Grade A,18.5204,73.8567,26.32,26.32,30.26,25000.0,25000.0,25000.0,25000.0,950.0,950.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
beside Sundar Sankul Society,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,10000.0,10000.0,10000.0,10000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
beside Sundar sankul society,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,10000.0,10000.0,10000.0,10000.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
bibwewadi,Pune,Grade C,18.5204,73.8567,12.31,12.31,14.15,8000.0,8000.0,8000.0,8000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
bijli nagar,Pune,Grade B,18.5204,73.8567,21.43,21.43,24.64,15000.0,15000.0,15000.0,15000.0,700.0,700.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
borate vasti,Pune,Grade B,18.5204,73.8567,18.52,18.52,21.3,7500.0,7500.0,7500.0,7500.0,405.0,405.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
dutta mandir road,Pune,Grade A,18.5204,73.8567,25.0,25.0,28.75,15000.0,15000.0,15000.0,15000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
gadital hadapser pune,Pune,Grade B,18.5204,73.8567,20.2,20.2,23.23,10000.0,10000.0,10000.0,10000.0,495.0,495.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
gardenia society,Pune,Grade B,18.5204,73.8567,20.0,20.0,23.0,9000.0,9000.0,9000.0,9000.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
ghule nagar,Pune,Grade C,18.5204,73.8567,10.39,10.39,11.95,9000.0,9000.0,9000.0,9000.0,866.0,866.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
keshavnagar,Pune,Grade C,18.5204,73.8567,13.33,13.33,15.33,4000.0,4000.0,4000.0,4000.0,300.0,300.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
khandve nagar,Pune,Grade B,18.5204,73.8567,17.14,17.14,19.71,12000.0,12000.0,12000.0,12000.0,700.0,700.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
kumbre township,Pune,Grade A,18.5204,73.8567,30.48,30.48,35.05,16000.0,16000.0,16000.0,16000.0,525.0,525.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
lane-6,Pune,Grade C,18.5204,73.8567,10.77,10.77,12.38,7000.0,7000.0,7000.0,7000.0,650.0,650.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
loni kalbhor,Pune,Grade C,18.5204,73.8567,10.85,10.85,12.47,6800.0,6800.0,6800.0,6800.0,627.0,627.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
mamata chow,Pune,Grade C,18.5204,73.8567,14.55,14.55,16.73,8000.0,8000.0,8000.0,8000.0,550.0,550.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
manjari budruk,Pune,Grade C,18.5204,73.8567,10.56,10.56,12.14,9500.0,9500.0,9500.0,9500.0,900.0,900.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
manjari farm,Pune,Grade C,18.5204,73.8567,12.01,12.01,13.81,7000.0,7000.0,7000.0,7000.0,583.0,583.0,1,Low,3.0,2.0,Real Property Listings,2026-02-07
mhatre bridge,Pune,Grade A,18.5204,73.8567,34.29,34.29,39.43,12000.0,12000.0,12000.0,12000.0,350.0,350.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
near orchid scool,Pune,Grade C,18.5204,73.8567,12.5,12.5,14.37,5000.0,5000.0,5000.0,5000.0,400.0,400.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
new sanghavi,Pune,Grade C,18.5204,73.8567,14.17,14.17,16.29,17000.0,17000.0,17000.0,17000.0,1200.0,1200.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
nibm,Pune,Grade B,18.5204,73.8567,16.67,16.67,19.17,20000.0,20000.0,20000.0,20000.0,1200.0,1200.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
orchard hospital,Pune,Grade A,18.5204,73.8567,25.21,25.21,28.99,15000.0,15000.0,15000.0,15000.0,595.0,595.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
panchshil colony,Pune,Grade A,18.5204,73.8567,26.09,26.09,30.0,15000.0,15000.0,15000.0,15000.0,575.0,575.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
pathare vasti,Pune,Grade C,18.5204,73.8567,13.85,13.85,15.92,9000.0,9000.0,9000.0,9000.0,650.0,650.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
paud road,Pune,Grade B,18.5204,73.8567,21.97,21.97,25.27,12500.0,12500.0,10000.0,15000.0,575.0,575.0,2,Low,1.5,1.5,Real Property Listings,2026-02-07
pune,Pune,Grade B,18.5204,73.8567,15.22,15.22,17.5,6750.0,6750.0,4500.0,9000.0,431.0,431.0,2,Low,1.0,1.0,Real Property Listings,2026-02-07
rajaram bridge,Pune,Grade A,18.5204,73.8567,25.5,25.5,29.32,23000.0,23000.0,23000.0,23000.0,902.0,902.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
sector-17 and 19 chikhali,Pune,Grade C,18.5204,73.8567,13.46,13.46,15.48,7000.0,7000.0,7000.0,7000.0,520.0,520.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
shelar mala,Pune,Grade C,18.5204,73.8567,11.67,11.67,13.42,7000.0,7000.0,7000.0,7000.0,600.0,600.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
shivshambho nagar lane no4,Pune,Grade B,18.5204,73.8567,22.22,22.22,25.56,10000.0,10000.0,10000.0,10000.0,450.0,450.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
somwar peth,Pune,Grade A,18.5204,73.8567,26.0,26.0,29.9,19500.0,19500.0,19500.0,19500.0,750.0,750.0,1,Low,2.0,1.0,Real Property Listings,2026-02-07
spring glory hou society,Pune,Grade B,18.5204,73.8567,19.75,19.75,22.72,16000.0,16000.0,16000.0,16000.0,810.0,810.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
wadheshwar nagar,Pune,Grade B,18.5204,73.8567,24.0,24.0,27.6,18000.0,18000.0,18000.0,18000.0,750.0,750.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Dhankawadi,South Pune,Grade B,18.4626,73.8509,17.41,17.14,20.02,8100.0,9000.0,6000.0,10000.0,481.0,425.0,5,Medium,1.0,1.0,Real Property Listings,2026-02-07
Gagan emerlad Kondhwa,South Pune,Grade C,18.4681,73.8935,13.0,13.0,14.95,13000.0,13000.0,13000.0,13000.0,1000.0,1000.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Katraj,South Pune,Grade B,18.4481,73.8687,17.64,16.62,20.28,12571.43,12000.0,8000.0,18000.0,720.57,690.0,14,High,1.5,1.4,Real Property Listings,2026-02-07
Katraj Kondhwa Road,South Pune,Grade B,18.4481,73.8687,17.36,16.92,19.97,15833.33,14000.0,11500.0,22000.0,925.0,875.0,3,Low,2.3,2.0,Real Property Listings,2026-02-07
Kondhwa,South Pune,Grade B,18.4681,73.8935,18.37,17.68,21.13,19807.69,19000.0,5500.0,45000.0,1090.19,1010.0,26,High,2.3,2.3,Real Property Listings,2026-02-07
Kondhwa Budruk,South Pune,Grade B,18.4681,73.8935,18.09,18.0,20.8,12785.71,12500.0,8000.0,18000.0,712.29,650.0,7,Medium,1.7,1.6,Real Property Listings,2026-02-07
Narhe,South Pune,Grade C,18.4605,73.7956,13.73,12.73,15.79,8000.0,7000.0,5500.0,14000.0,575.91,550.0,11,High,1.1,1.2,Real Property Listings,2026-02-07
Undri,South Pune,Grade A,18.4626,73.9159,26.72,17.9,30.73,16097.54,13500.0,8000.0,50000.0,844.99,774.0,41,High,2.0,2.0,Real Property Listings,2026-02-07
Undri Chowck,South Pune,Grade C,18.4626,73.9159,13.91,13.91,16.0,8000.0,8000.0,8000.0,8000.0,575.0,575.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Undri Pune,South Pune,Grade B,18.4626,73.9159,16.44,16.44,18.9,18000.0,18000.0,18000.0,18000.0,1095.0,1095.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wanowrie,South Pune,Grade B,18.4864,73.9095,22.05,21.33,25.36,23869.05,24000.0,7500.0,40000.0,1102.02,1150.0,42,High,2.3,2.2,Real Property Listings,2026-02-07
Warje,South Pune,Grade B,18.48,73.8074,20.97,22.06,24.12,14119.05,13000.0,5500.0,25000.0,669.52,700.0,21,High,1.6,1.7,Real Property Listings,2026-02-07
Warje Malwadi,South Pune,Grade B,18.48,73.8074,18.11,17.18,20.82,9125.0,9000.0,6500.0,12000.0,500.0,525.0,4,Low,1.0,1.0,Real Property Listings,2026-02-07
katraj,South Pune,Grade C,18.4481,73.8687,7.06,7.06,8.12,6000.0,6000.0,6000.0,6000.0,850.0,850.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
undri,South Pune,Grade C,18.4626,73.9159,13.89,13.89,15.97,7500.0,7500.0,7500.0,7500.0,540.0,540.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Aundh,West Pune,Grade A,18.559,73.8072,26.26,26.19,30.2,21016.89,19000.0,4625.0,50000.0,804.65,800.0,37,High,1.7,1.7,Real Property Listings,2026-02-07
Aundh Gaon,West Pune,Grade B,18.559,73.8072,24.47,24.71,28.14,19000.0,17000.0,11000.0,29000.0,774.43,800.0,7,Medium,1.9,1.7,Real Property Listings,2026-02-07
Aundh Road,West Pune,Grade B,18.559,73.8072,18.52,18.52,21.3,10000.0,10000.0,10000.0,10000.0,540.0,540.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Aundh-Baner link road,West Pune,Grade A,18.559,73.7804,31.25,31.25,35.94,15000.0,15000.0,15000.0,15000.0,480.0,480.0,1,Low,1.0,2.0,Real Property Listings,2026-02-07
BANER PASN LINK ROAD,West Pune,Grade B,18.559,73.7804,18.0,18.0,20.7,18000.0,18000.0,18000.0,18000.0,1000.0,1000.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Balewadi,West Pune,Grade A,18.5684,73.7696,25.19,23.43,28.97,26983.47,23000.0,12000.0,80000.0,1080.07,970.5,30,High,2.2,2.3,Real Property Listings,2026-02-07
Balewadi Phata,West Pune,Grade A,18.5684,73.7696,26.74,26.25,30.75,23199.6,21000.0,17999.0,35000.0,862.6,850.0,5,Medium,2.0,2.0,Real Property Listings,2026-02-07
Baner,West Pune,Grade B,18.559,73.7804,24.28,23.7,27.93,27455.62,23000.0,8200.0,95000.0,1301.59,1000.0,87,High,2.4,2.4,Real Property Listings,2026-02-07
Baner Pashan Link Road,West Pune,Grade B,18.559,73.7804,22.54,18.0,25.92,21333.33,21000.0,18000.0,25000.0,1015.67,1000.0,3,Low,2.3,2.3,Real Property Listings,2026-02-07
Baner-Sus,West Pune,Grade B,18.559,73.7804,21.83,21.88,25.11,24666.67,21250.0,15500.0,45000.0,1139.17,1025.0,6,Medium,2.5,2.5,Real Property Listings,2026-02-07
Bavdhan,West Pune,Grade B,18.5125,73.7738,22.88,22.86,26.31,17875.0,16500.0,5000.0,42000.0,794.11,810.5,38,High,1.9,1.8,Real Property Listings,2026-02-07
HINJEWADI MAIN ROAD,West Pune,Grade C,18.5912,73.7337,10.16,10.16,11.68,6500.0,6500.0,6500.0,6500.0,640.0,640.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Hinjewadi,West Pune,Grade B,18.5912,73.7337,21.36,20.45,24.56,15500.91,15000.0,4200.0,35000.0,747.39,760.0,129,High,1.9,1.9,Real Property Listings,2026-02-07
Hinjewadi Lakshmi chowk,West Pune,Grade B,18.5912,73.7337,17.0,17.0,19.55,8500.0,8500.0,8500.0,8500.0,500.0,500.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Hinjewadi Phase 1,West Pune,Grade B,18.5912,73.7337,20.88,19.67,24.02,16255.87,17000.0,6990.0,24768.74,832.1,868.5,10,High,1.8,1.8,Real Property Listings,2026-02-07
Hinjewadi Phase 2,West Pune,Grade B,18.5912,73.7337,20.91,21.69,24.04,18071.43,17500.0,7500.0,32500.0,867.29,803.0,14,High,2.3,2.2,Real Property Listings,2026-02-07
Hinjewadi pune,West Pune,Grade B,18.5912,73.7337,16.0,16.0,18.4,12000.0,12000.0,12000.0,12000.0,750.0,750.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
Omkar height baner,West Pune,Grade A,18.559,73.7804,25.74,25.74,29.6,17500.0,17500.0,17500.0,17500.0,680.0,680.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Pashan,West Pune,Grade A,18.5367,73.7954,25.48,26.6,29.3,21766.67,20000.0,13500.0,38000.0,901.67,800.0,15,High,2.1,2.1,Real Property Listings,2026-02-07
Pashan Sus Road,West Pune,Grade B,18.5367,73.7954,20.62,20.62,23.72,16500.0,16500.0,16500.0,16500.0,800.0,800.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Pashan-Sus Road,West Pune,Grade B,18.5367,73.7954,24.71,27.78,28.42,16166.67,18000.0,12500.0,18000.0,716.67,600.0,3,Low,2.0,2.0,Real Property Listings,2026-02-07
Phase-3 Hinjewadi,West Pune,Grade B,18.5912,73.7337,24.58,22.98,28.26,19360.2,20000.0,12000.0,30000.0,835.24,835.0,25,High,2.0,2.1,Real Property Listings,2026-02-07
Sus,West Pune,Grade B,18.5598,73.7562,16.56,16.27,19.04,15400.0,16500.0,8500.0,20000.0,928.6,915.5,10,High,1.8,2.0,Real Property Listings,2026-02-07
Sus gaon,West Pune,Grade C,18.5598,73.7562,14.94,14.94,17.18,13000.0,13000.0,13000.0,13000.0,870.0,870.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
WAKAD,West Pune,Grade B,18.6029,73.7538,16.53,16.33,19.0,11333.33,11000.0,7000.0,16000.0,690.0,680.0,3,Low,1.3,1.3,Real Property Listings,2026-02-07
Wakad,West Pune,Grade B,18.6029,73.7538,22.0,21.16,25.3,18726.02,18000.0,4500.0,38000.0,887.51,850.0,126,High,2.0,2.0,Real Property Listings,2026-02-07
Wakad Annexe,West Pune,Grade B,18.6029,73.7538,18.73,20.0,21.54,14666.67,14000.0,14000.0,16000.0,796.0,700.0,3,Low,2.0,2.0,Real Property Listings,2026-02-07
Wakad Nx,West Pune,Grade C,18.6029,73.7538,13.33,13.33,15.33,16000.0,16000.0,16000.0,16000.0,1200.0,1200.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
Wakadkar Wasti,West Pune,Grade A,18.6029,73.7538,26.04,26.04,29.95,12500.0,12500.0,12500.0,12500.0,480.0,480.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
balewadi,West Pune,Grade B,18.5684,73.7696,24.67,24.67,28.37,18500.0,18500.0,18500.0,18500.0,750.0,750.0,1,Low,2.0,2.0,Real Property Listings,2026-02-07
bavdhan,West Pune,Grade B,18.5125,73.7738,22.82,22.82,26.24,11500.0,11500.0,11500.0,11500.0,504.0,504.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
old vitthal mandir bavdhan,West Pune,Grade C,18.5125,73.7738,13.56,13.56,15.59,8000.0,8000.0,8000.0,8000.0,590.0,590.0,1,Low,1.0,1.0,Real Property Listings,2026-02-07
